trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1535,False,"{'a': 0.2, 'e': 0.21545569116974203}",25,13,-43.80808975015372,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
1536,False,"{'a': 0.2, 'e': 0.21524034317051757}",20,15,9.413361908824335,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1537,False,"{'a': 0.2, 'e': 0.21502521041165426}",20,11,14.174873901771397,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1538,False,"{'a': 0.2, 'e': 0.2148102926780192}",20,16,6.931988169572746,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1539,False,"{'a': 0.2, 'e': 0.21459558975469478}",25,9,-0.08148975442607043,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
1540,False,"{'a': 0.2, 'e': 0.21438110142697794}",25,13,21.653506606917965,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1541,False,"{'a': 0.2, 'e': 0.21416682748038046}",20,9,9.055910016117906,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
1542,False,"{'a': 0.2, 'e': 0.21395276770062824}",20,6,25.80520206815519,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1543,False,"{'a': 0.2, 'e': 0.2137389218736616}",25,14,24.805689080320462,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1544,False,"{'a': 0.2, 'e': 0.2135252897856346}",30,16,-18.63570643755114,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
1545,False,"{'a': 0.2, 'e': 0.21331187122291523}",25,14,21.298333614781427,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1546,False,"{'a': 0.2, 'e': 0.21309866597208482}",20,0,-20.681973189562637,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
1547,False,"{'a': 0.2, 'e': 0.21288567381993817}",20,11,21.886397653229814,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1548,False,"{'a': 0.2, 'e': 0.21267289455348304}",25,16,18.640425141378003,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
